model_id,model,layer,n_layers,normalized_depth,zbar,ci_lo,ci_hi,se,zbar_over_peak
gemma-3-27b,Gemma-3-27B,35,62,0.564501,1.001,0.8966,1.1054,0.05324,0.4633
gemma-3-27b,Gemma-3-27B,36,62,0.580628,1.0945,0.9833,1.2057,0.05676,0.5066
gemma-3-27b,Gemma-3-27B,37,62,0.596754,1.1984,1.0779,1.3189,0.06146,0.5547
gemma-3-27b,Gemma-3-27B,38,62,0.612881,1.2828,1.1534,1.4122,0.06602,0.5938
gemma-3-27b,Gemma-3-27B,39,62,0.629008,1.3777,1.2437,1.5117,0.06839,0.6377
gemma-3-27b,Gemma-3-27B,40,62,0.645135,1.4707,1.3241,1.6173,0.0748,0.6807
gemma-3-27b,Gemma-3-27B,41,62,0.661334,1.555,1.3993,1.7107,0.07944,0.7197
gemma-3-27b,Gemma-3-27B,42,62,0.677461,1.6374,1.4766,1.7982,0.08204,0.7579
gemma-3-27b,Gemma-3-27B,43,62,0.693588,1.7181,1.5516,1.8846,0.08495,0.7952
gemma-3-27b,Gemma-3-27B,44,62,0.709715,1.7838,1.6092,1.9584,0.08906,0.8256
gemma-3-27b,Gemma-3-27B,45,62,0.725842,1.8564,1.6776,2.0352,0.0912,0.8592
gemma-3-27b,Gemma-3-27B,46,62,0.741969,1.918,1.7343,2.1017,0.09373,0.8878
gemma-3-27b,Gemma-3-27B,47,62,0.758096,1.948,1.7618,2.1342,0.09498,0.9016
gemma-3-27b,Gemma-3-27B,48,62,0.774223,2.005,1.8120,2.1980,0.09845,0.928
gemma-3-27b,Gemma-3-27B,49,62,0.79035,2.053,1.8550,2.2510,0.10102,0.9502
gemma-3-27b,Gemma-3-27B,50,62,0.806477,2.0767,1.8818,2.2716,0.09942,0.9612
gemma-3-27b,Gemma-3-27B,51,62,0.822604,2.1174,1.9161,2.3187,0.10268,0.9801
gemma-3-27b,Gemma-3-27B,52,62,0.838731,2.14,1.9417,2.3383,0.10115,0.9905
gemma-3-27b,Gemma-3-27B,53,62,0.854858,2.1605,1.9605,2.3605,0.10204,1.0
gemma-3-27b,Gemma-3-27B,54,62,0.870984,2.1599,1.9622,2.3576,0.10087,0.9997
gemma-3-27b,Gemma-3-27B,55,62,0.887111,2.1449,1.9465,2.3433,0.10123,0.9928
gemma-3-27b,Gemma-3-27B,56,62,0.903238,2.1449,1.9484,2.3414,0.10026,0.9928
gemma-3-27b,Gemma-3-27B,57,62,0.919365,2.1035,1.9182,2.2888,0.09454,0.9736
gemma-3-27b,Gemma-3-27B,58,62,0.935492,2.0628,1.8740,2.2516,0.09635,0.9548
gemma-3-27b,Gemma-3-27B,59,62,0.951619,2.017,1.8370,2.1970,0.09184,0.9336
gemma-3-27b,Gemma-3-27B,60,62,0.967746,1.9505,1.7672,2.1338,0.09352,0.9028
gemma-3-27b,Gemma-3-27B,61,62,0.983873,1.8749,1.7037,2.0461,0.08737,0.8678
gemma-3-27b,Gemma-3-27B,62,62,1.0,1.8018,1.6375,1.9661,0.08385,0.834
olmo-3.1-32b,OLMo-3.1-32B,1,64,0.015623,-0.0016,-0.0245,0.0213,0.01166,-0.0004
olmo-3.1-32b,OLMo-3.1-32B,2,64,0.031253,0.0027,-0.0192,0.0246,0.01115,0.0007
olmo-3.1-32b,OLMo-3.1-32B,3,64,0.046876,0.0087,-0.0141,0.0315,0.01163,0.0024
olmo-3.1-32b,OLMo-3.1-32B,4,64,0.062499,0.0046,-0.0177,0.0269,0.0114,0.0013
olmo-3.1-32b,OLMo-3.1-32B,5,64,0.078129,0.0061,-0.0168,0.0290,0.01166,0.0017
olmo-3.1-32b,OLMo-3.1-32B,6,64,0.093752,0.01,-0.0148,0.0348,0.01263,0.0028
olmo-3.1-32b,OLMo-3.1-32B,7,64,0.109375,0.0142,-0.0095,0.0379,0.01207,0.0039
olmo-3.1-32b,OLMo-3.1-32B,8,64,0.124998,0.02,-0.0046,0.0446,0.01253,0.0055
olmo-3.1-32b,OLMo-3.1-32B,9,64,0.140628,0.0299,0.0041,0.0557,0.01316,0.0083
olmo-3.1-32b,OLMo-3.1-32B,10,64,0.156251,0.034,0.0073,0.0607,0.01362,0.0094
olmo-3.1-32b,OLMo-3.1-32B,11,64,0.171874,0.0397,0.0115,0.0679,0.01441,0.011
olmo-3.1-32b,OLMo-3.1-32B,12,64,0.187504,0.0457,0.0146,0.0768,0.01589,0.0127
olmo-3.1-32b,OLMo-3.1-32B,13,64,0.203127,0.0614,0.0282,0.0946,0.01694,0.017
olmo-3.1-32b,OLMo-3.1-32B,14,64,0.21875,0.0778,0.0425,0.1131,0.01801,0.0216
olmo-3.1-32b,OLMo-3.1-32B,15,64,0.234381,0.0926,0.0567,0.1285,0.01832,0.0257
olmo-3.1-32b,OLMo-3.1-32B,16,64,0.250004,0.1122,0.0720,0.1524,0.02051,0.0311
olmo-3.1-32b,OLMo-3.1-32B,17,64,0.265627,0.1301,0.0872,0.1730,0.02191,0.0361
olmo-3.1-32b,OLMo-3.1-32B,18,64,0.281257,0.1619,0.1151,0.2087,0.0239,0.0449
olmo-3.1-32b,OLMo-3.1-32B,19,64,0.29688,0.1835,0.1347,0.2323,0.0249,0.0509
olmo-3.1-32b,OLMo-3.1-32B,20,64,0.312503,0.2213,0.1659,0.2767,0.02824,0.0614
olmo-3.1-32b,OLMo-3.1-32B,21,64,0.328126,0.2614,0.2002,0.3226,0.0312,0.0725
olmo-3.1-32b,OLMo-3.1-32B,22,64,0.343756,0.3039,0.2346,0.3732,0.03536,0.0843
olmo-3.1-32b,OLMo-3.1-32B,23,64,0.359379,0.364,0.2889,0.4391,0.03834,0.1009
olmo-3.1-32b,OLMo-3.1-32B,24,64,0.375002,0.416,0.3318,0.5002,0.04296,0.1153
olmo-3.1-32b,OLMo-3.1-32B,25,64,0.390632,0.4913,0.3990,0.5836,0.04709,0.1362
olmo-3.1-32b,OLMo-3.1-32B,26,64,0.406255,0.5707,0.4692,0.6722,0.05179,0.1582
olmo-3.1-32b,OLMo-3.1-32B,27,64,0.421878,0.6535,0.5397,0.7673,0.05804,0.1812
olmo-3.1-32b,OLMo-3.1-32B,28,64,0.437508,0.7482,0.6207,0.8757,0.06505,0.2074
olmo-3.1-32b,OLMo-3.1-32B,29,64,0.453131,0.861,0.7209,1.0011,0.07146,0.2387
olmo-3.1-32b,OLMo-3.1-32B,30,64,0.468747,0.9775,0.8254,1.1296,0.0776,0.271
olmo-3.1-32b,OLMo-3.1-32B,31,64,0.48437,1.1049,0.9414,1.2684,0.08342,0.3063
olmo-3.1-32b,OLMo-3.1-32B,32,64,0.499993,1.2483,1.0700,1.4266,0.09095,0.3461
olmo-3.1-32b,OLMo-3.1-32B,33,64,0.515616,1.3959,1.1986,1.5932,0.10067,0.387
olmo-3.1-32b,OLMo-3.1-32B,34,64,0.531239,1.5528,1.3430,1.7626,0.10704,0.4305
olmo-3.1-32b,OLMo-3.1-32B,35,64,0.546862,1.7096,1.4868,1.9324,0.11368,0.474
olmo-3.1-32b,OLMo-3.1-32B,36,64,0.562485,1.8774,1.6389,2.1159,0.12169,0.5205
olmo-3.1-32b,OLMo-3.1-32B,37,64,0.578108,2.023,1.7671,2.2789,0.13054,0.5609
olmo-3.1-32b,OLMo-3.1-32B,38,64,0.593731,2.1945,1.9212,2.4678,0.13944,0.6085
olmo-3.1-32b,OLMo-3.1-32B,39,64,0.609354,2.3503,2.0641,2.6365,0.14602,0.6516
olmo-3.1-32b,OLMo-3.1-32B,40,64,0.624977,2.5019,2.2057,2.7981,0.1511,0.6937
olmo-3.1-32b,OLMo-3.1-32B,41,64,0.6406,2.6413,2.3311,2.9515,0.15827,0.7323
olmo-3.1-32b,OLMo-3.1-32B,42,64,0.656223,2.7632,2.4416,3.0848,0.16406,0.7661
olmo-3.1-32b,OLMo-3.1-32B,43,64,0.671918,2.899,2.5663,3.2317,0.16975,0.8038
olmo-3.1-32b,OLMo-3.1-32B,44,64,0.68754,3.0062,2.6669,3.3455,0.17309,0.8335
olmo-3.1-32b,OLMo-3.1-32B,45,64,0.703163,3.1085,2.7530,3.4640,0.18138,0.8619
olmo-3.1-32b,OLMo-3.1-32B,46,64,0.718786,3.2001,2.8361,3.5641,0.18569,0.8873
olmo-3.1-32b,OLMo-3.1-32B,47,64,0.734409,3.2631,2.8804,3.6458,0.19523,0.9047
olmo-3.1-32b,OLMo-3.1-32B,48,64,0.750032,3.3714,2.9863,3.7565,0.19648,0.9348
olmo-3.1-32b,OLMo-3.1-32B,49,64,0.765655,3.415,3.0210,3.8090,0.201,0.9468
olmo-3.1-32b,OLMo-3.1-32B,50,64,0.781278,3.4813,3.0810,3.8816,0.20421,0.9652
olmo-3.1-32b,OLMo-3.1-32B,51,64,0.796901,3.5099,3.0964,3.9234,0.21097,0.9732
olmo-3.1-32b,OLMo-3.1-32B,52,64,0.812524,3.5394,3.1291,3.9497,0.20934,0.9813
olmo-3.1-32b,OLMo-3.1-32B,53,64,0.828147,3.5759,3.1673,3.9845,0.20845,0.9915
olmo-3.1-32b,OLMo-3.1-32B,54,64,0.84377,3.5991,3.1770,4.0212,0.21534,0.9979
olmo-3.1-32b,OLMo-3.1-32B,55,64,0.859393,3.6067,3.1855,4.0279,0.2149,1.0
olmo-3.1-32b,OLMo-3.1-32B,56,64,0.875016,3.577,3.1604,3.9936,0.21255,0.9918
olmo-3.1-32b,OLMo-3.1-32B,57,64,0.890639,3.5489,3.1361,3.9617,0.21062,0.984
olmo-3.1-32b,OLMo-3.1-32B,58,64,0.906262,3.5025,3.0897,3.9153,0.21062,0.9711
olmo-3.1-32b,OLMo-3.1-32B,59,64,0.921885,3.4466,3.0387,3.8545,0.20809,0.9556
olmo-3.1-32b,OLMo-3.1-32B,60,64,0.937508,3.3602,2.9571,3.7633,0.20567,0.9317
olmo-3.1-32b,OLMo-3.1-32B,61,64,0.953131,3.2737,2.8876,3.6598,0.19697,0.9077
olmo-3.1-32b,OLMo-3.1-32B,62,64,0.968754,3.1736,2.7943,3.5529,0.1935,0.8799
olmo-3.1-32b,OLMo-3.1-32B,63,64,0.984377,3.0575,2.6926,3.4224,0.18618,0.8477
olmo-3.1-32b,OLMo-3.1-32B,64,64,1.0,2.923,2.5710,3.2750,0.17957,0.8104
mistral-small-3.2-24b,Mistral-Small-3.2-24B,1,40,0.024997,0.0053,-0.0057,0.0163,0.00559,0.0056
mistral-small-3.2-24b,Mistral-Small-3.2-24B,2,40,0.050001,-0.0022,-0.0127,0.0083,0.00538,-0.0023
mistral-small-3.2-24b,Mistral-Small-3.2-24B,3,40,0.074997,0.0092,-0.0008,0.0192,0.0051,0.0098
mistral-small-3.2-24b,Mistral-Small-3.2-24B,4,40,0.100001,0.0062,-0.0040,0.0164,0.00518,0.0066
mistral-small-3.2-24b,Mistral-Small-3.2-24B,5,40,0.124998,0.0093,-0.0016,0.0202,0.00556,0.0099
mistral-small-3.2-24b,Mistral-Small-3.2-24B,6,40,0.150002,0.0115,0.0002,0.0228,0.00577,0.0122
mistral-small-3.2-24b,Mistral-Small-3.2-24B,7,40,0.174999,0.0185,0.0071,0.0299,0.00582,0.0196
mistral-small-3.2-24b,Mistral-Small-3.2-24B,8,40,0.200003,0.0284,0.0152,0.0416,0.00676,0.0302
mistral-small-3.2-24b,Mistral-Small-3.2-24B,9,40,0.225,0.0332,0.0213,0.0451,0.00605,0.0353
mistral-small-3.2-24b,Mistral-Small-3.2-24B,10,40,0.250004,0.0358,0.0219,0.0497,0.00707,0.038
mistral-small-3.2-24b,Mistral-Small-3.2-24B,11,40,0.275,0.0439,0.0287,0.0591,0.00773,0.0466
mistral-small-3.2-24b,Mistral-Small-3.2-24B,12,40,0.300004,0.0493,0.0339,0.0647,0.00786,0.0523
mistral-small-3.2-24b,Mistral-Small-3.2-24B,13,40,0.325001,0.0651,0.0484,0.0818,0.0085,0.0691
mistral-small-3.2-24b,Mistral-Small-3.2-24B,14,40,0.350005,0.0802,0.0611,0.0993,0.00972,0.0852
mistral-small-3.2-24b,Mistral-Small-3.2-24B,15,40,0.375002,0.1025,0.0823,0.1227,0.01033,0.1088
mistral-small-3.2-24b,Mistral-Small-3.2-24B,16,40,0.400006,0.1235,0.1006,0.1464,0.01168,0.1311
mistral-small-3.2-24b,Mistral-Small-3.2-24B,17,40,0.425003,0.1537,0.1284,0.1790,0.01293,0.1632
mistral-small-3.2-24b,Mistral-Small-3.2-24B,18,40,0.450006,0.187,0.1585,0.2155,0.01454,0.1986
mistral-small-3.2-24b,Mistral-Small-3.2-24B,19,40,0.47501,0.2254,0.1943,0.2565,0.01587,0.2393
mistral-small-3.2-24b,Mistral-Small-3.2-24B,20,40,0.499993,0.274,0.2390,0.3090,0.01786,0.2909
mistral-small-3.2-24b,Mistral-Small-3.2-24B,21,40,0.524975,0.3334,0.2944,0.3724,0.0199,0.354
mistral-small-3.2-24b,Mistral-Small-3.2-24B,22,40,0.55003,0.3884,0.3421,0.4347,0.02362,0.4124
mistral-small-3.2-24b,Mistral-Small-3.2-24B,23,40,0.575012,0.4461,0.3979,0.4943,0.02457,0.4737
mistral-small-3.2-24b,Mistral-Small-3.2-24B,24,40,0.599994,0.5039,0.4512,0.5566,0.02689,0.535
mistral-small-3.2-24b,Mistral-Small-3.2-24B,25,40,0.624977,0.5687,0.5098,0.6276,0.03003,0.6038
mistral-small-3.2-24b,Mistral-Small-3.2-24B,26,40,0.650031,0.6377,0.5749,0.7005,0.03202,0.6771
mistral-small-3.2-24b,Mistral-Small-3.2-24B,27,40,0.675013,0.7015,0.6337,0.7693,0.03459,0.7449
mistral-small-3.2-24b,Mistral-Small-3.2-24B,28,40,0.699996,0.7531,0.6813,0.8249,0.03661,0.7996
mistral-small-3.2-24b,Mistral-Small-3.2-24B,29,40,0.724978,0.7993,0.7215,0.8771,0.03969,0.8487
mistral-small-3.2-24b,Mistral-Small-3.2-24B,30,40,0.750032,0.8343,0.7504,0.9182,0.04281,0.8859
mistral-small-3.2-24b,Mistral-Small-3.2-24B,31,40,0.775015,0.8615,0.7743,0.9487,0.04447,0.9147
mistral-small-3.2-24b,Mistral-Small-3.2-24B,32,40,0.799997,0.9024,0.8130,0.9918,0.04561,0.9582
mistral-small-3.2-24b,Mistral-Small-3.2-24B,33,40,0.824979,0.9204,0.8290,1.0118,0.04661,0.9773
mistral-small-3.2-24b,Mistral-Small-3.2-24B,34,40,0.850034,0.9406,0.8470,1.0342,0.04776,0.9987
mistral-small-3.2-24b,Mistral-Small-3.2-24B,35,40,0.875016,0.9353,0.8396,1.0310,0.04885,0.9931
mistral-small-3.2-24b,Mistral-Small-3.2-24B,36,40,0.899999,0.9418,0.8486,1.0350,0.04753,1.0
mistral-small-3.2-24b,Mistral-Small-3.2-24B,37,40,0.924981,0.8981,0.8074,0.9888,0.04628,0.9536
mistral-small-3.2-24b,Mistral-Small-3.2-24B,38,40,0.950035,0.8631,0.7751,0.9511,0.04492,0.9164
mistral-small-3.2-24b,Mistral-Small-3.2-24B,39,40,0.975018,0.8352,0.7536,0.9168,0.04161,0.8868
mistral-small-3.2-24b,Mistral-Small-3.2-24B,40,40,1.0,0.7612,0.6805,0.8419,0.04117,0.8082
